chip,msg
0000165,45.4417,-122.5773,Los_Angeles,0.11987404903557135,9/3/2024, 2:00:53 AM
0000101,28.0351,-80.6394,New_York,1694.7563564535485,9/2/2024, 9:22:54 PM
0000290,38.0955,-122.2365,Los_Angeles,0,8/26/2024, 12:13:27 PM
0000295,38.0955,-122.2365,Los_Angeles,0,8/26/2024, 12:13:45 PM
0000028,32.9927,-96.8283,Chicago,475.21900371027857,9/3/2024, 2:00:12 AM
0000266,40.7671,-111.9131,Denver,0,9/3/2024, 2:00:58 AM
0000188,No particle diagnostics payload,2/6/2024, 10:14:09 AM
0000286,38.0955,-122.2365,Los_Angeles,0,8/26/2024, 12:13:11 PM
0000282,38.0955,-122.2365,Los_Angeles,0,8/26/2024, 12:12:55 PM
0000031,36.3051,-119.3426,Los_Angeles,0.6741313970741617,9/3/2024, 2:00:06 AM
0000052,43.2258,-123.3429,Los_Angeles,553.7607167964843,9/3/2024, 2:00:17 AM
0000213,No particle diagnostics payload,7/30/2024, 1:20:20 PM
0000033,47.7422,-117.4011,Los_Angeles,0.08457976730287911,9/3/2024, 2:00:59 AM
0000122,43.6766,-116.3133,Boise,0,8/22/2024, 10:00:56 AM
0000078,25.984,-80.2696,New_York,2.2175111370496494,9/2/2024, 9:23:06 PM
0000075,27.1631,-80.2235,New_York,0.37286860015449586,9/3/2024, 2:00:50 AM
0000021,38.766,-77.5018,New_York,1366.2842082080836,9/3/2024, 2:00:14 AM
0000050,47.2552,-122.5168,Los_Angeles,0.15837256108703548,9/3/2024, 2:40:22 AM
0000177,45.5403,-122.899,Los_Angeles,0,9/2/2024, 10:00:51 AM
0000205,No particle diagnostics payload,7/1/2024, 2:00:19 AM
0000212,googleapis geolocate error - Not Found,9/2/2024, 10:00:20 AM
0000196,No particle diagnostics payload,4/1/2024, 10:00:33 AM
0000034,37.7896,-121.2941,Los_Angeles,751.7807547813982,9/2/2024, 9:30:26 PM
0000083,36.3002,-119.318,Los_Angeles,418.5089192432295,9/3/2024, 2:00:09 AM
0000035,googleapis geolocate error - Not Found,9/3/2024, 2:00:58 AM
0000223,39.9973,-76.7322,New_York,0,9/3/2024, 2:00:50 AM
0000014,44.09,-121.3077,Los_Angeles,0.29752515097076865,9/3/2024, 2:00:02 AM
0000230,No particle diagnostics payload,6/27/2024, 10:00:49 AM
0000232,44.9308,-93.3406,Chicago,0,9/3/2024, 2:00:08 AM
0000041,29.4525,-98.6743,Chicago,0.4411979463082434,9/3/2024, 2:00:37 AM
0000042,33.6867,-117.1792,Los_Angeles,0.24296522064070908,9/3/2024, 2:00:40 AM
0000104,38.6302,-90.2086,Chicago,0,9/2/2024, 10:00:19 AM
0000082,34.0839,-117.3591,Los_Angeles,570.6214345677932,9/3/2024, 2:00:59 AM
0000128,36.8027,-119.8694,Los_Angeles,0.524911746181362,9/3/2024, 2:00:12 AM
0000291,38.0955,-122.2365,Los_Angeles,0,8/26/2024, 12:13:31 PM
0000269,No particle diagnostics payload,8/1/2024, 2:59:52 PM
0000046,No particle diagnostics payload,11/28/2022, 9:51:51 AM
0000229,googleapis geolocate error - Not Found,9/3/2024, 2:00:59 AM
0000043,36.1971,-115.1605,Los_Angeles,0,9/3/2024, 2:00:31 AM
0000281,38.0955,-122.2365,Los_Angeles,0,8/26/2024, 12:12:51 PM
0000162,27.3376,-82.5364,New_York,818.6365092668287,9/2/2024, 9:23:31 PM
0000044,40.7167,-112.0247,Denver,0.18308419881172758,9/3/2024, 2:00:37 AM
0000169,No particle diagnostics payload,9/11/2023, 2:00:43 AM
0000038,32.1712,-110.9853,Phoenix,0.40503223865660876,9/3/2024, 2:00:27 AM
0000204,41.9291,-87.6825,Chicago,0,9/3/2024, 2:00:13 AM
0000055,39.9077,-75.0682,New_York,0,9/3/2024, 2:00:04 AM
0000243,44.0286,-92.4741,Chicago,0,9/3/2024, 2:00:01 AM
0000159,30.2829,-97.7273,Chicago,0,9/3/2024, 2:00:33 AM
0000246,44.7312,-93.2133,Chicago,815.9209077839894,9/3/2024, 2:00:11 AM
0000030,40.656,-111.5077,Denver,0,9/3/2024, 2:00:46 AM
0000116,39.915,-75.1897,New_York,0,9/3/2024, 2:00:03 AM
0000097,26.377,-80.1838,New_York,1427.675012531657,9/3/2024, 2:00:50 AM
0000040,45.6337,-122.6655,Los_Angeles,0,9/3/2024, 2:00:29 AM
0000067,googleapis geolocate error - Not Found,9/2/2024, 9:30:14 PM
0000240,No particle diagnostics payload,7/19/2024, 10:00:45 AM
0000270,No particle diagnostics payload,8/1/2024, 3:00:00 PM
0000061,40.3928,-111.8435,Denver,0,9/3/2024, 2:00:29 AM
0000064,41.8973,-111.8168,Denver,0,9/3/2024, 2:00:27 AM
0000002,37.0354,-113.0657,Denver,0,8/14/2024, 4:55:26 AM
0000218,37.1181,-113.509,Denver,0,9/3/2024, 2:00:11 AM
0000080,26.665,-81.9412,New_York,0.41579350907677637,9/3/2024, 2:00:55 AM
0000256,40.6913,-111.9806,Denver,0,8/14/2024, 10:00:21 AM
0000292,38.0955,-122.2365,Los_Angeles,0,8/26/2024, 12:13:35 PM
0000247,45.0188,-93.4484,Chicago,1.3500579640453476,9/3/2024, 2:00:32 AM
0000011,39.4974,-119.7861,Los_Angeles,295.8825330315025,9/3/2024, 2:00:47 AM
0000045,33.7048,-117.9729,Los_Angeles,605.5259768627801,9/3/2024, 2:00:38 AM
0000268,40.7671,-111.9131,Denver,0,8/22/2024, 7:31:59 AM
0000020,33.6382,-112.0833,Phoenix,809.5859735548319,9/3/2024, 2:00:56 AM
